Date;Title;URL;Source;Type;Runtime;Year;Rated;Released;Genre;Director;Actors;Rating;IMDB ID;Series Title;Triage
7/31/16;American Dad!: Season 3: "Frannie 911";/title/70143520;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/31/16;Happy Valley: Series 2: "Episode 6";/title/80049230;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
7/31/16;Mouk: Season 1: "The Bamboo Plantation / Hanami";/title/80062962;Netflix;series;N/A;2011–;N/A;19 Sep 2011;Animation;N/A;Tania Farchy, Rachel Williams, Lisa Jacobs, Gwenaelle Jegou;7.4;tt2129477;Mouk;false
7/31/16;American Dad!: Season 3: "The Most Adequate Christmas Ever";/title/70143533;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/31/16;American Dad!: Season 3: "Surro-Gate";/title/70143519;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/31/16;American Dad!: Season 3: "The 42-Year-Old Virgin";/title/70143517;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/31/16;American Dad!: Season 3: "Haylias";/title/70143516;Netflix;series;22;2005–;TV-14;N/A;Animation, Comedy;N/A;Seth MacFarlane, Wendy Schaal, Dee Bradley Baker, Scott Grimes;7.5;tt0397306;American Dad!;false
7/31/16;Happy Valley: Series 2: "Episode 5";/title/80049229;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
7/30/16;Band of Robbers;/title/80064273;Netflix;movie;95;2015;N/A;15 Apr 2016;Adventure, Comedy, Crime;Aaron Nee, Adam Nee;Kyle Gallner, Adam Nee, Matthew Gray Gubler, Melissa Benoist;6.0;tt4048668;Band of Robbers;false
7/30/16;Happy Valley: Series 2: "Episode 4";/title/80049228;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
7/30/16;Happy Valley: Series 2: "Episode 3";/title/80049227;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
7/29/16;Back to the Future;/title/60010110;Netflix;movie;116;1985;PG;03 Jul 1985;Adventure, Comedy, Sci-Fi;Robert Zemeckis;Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover;8.5;tt0088763;Back to the Future;false
7/29/16;Turbo Kid;/title/80052497;Netflix;movie;93;2015;UNRATED;28 Aug 2015;Action, Adventure, Comedy;François Simard, Anouk Whissell, Yoann-Karl Whissell;Munro Chambers, Laurence Leboeuf, Michael Ironside, Edwin Wright;6.7;tt3672742;Turbo Kid;false
7/29/16;Mouk: Season 1: "Baobab Café / The Art of Milking a Yak";/title/80062956;Netflix;series;N/A;2011–;N/A;19 Sep 2011;Animation;N/A;Tania Farchy, Rachel Williams, Lisa Jacobs, Gwenaelle Jegou;7.4;tt2129477;Mouk;false
7/28/16;Parks and Recreation: Season 5: "How a Bill Becomes a Law";/title/70286783;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/28/16;Parks and Recreation: Season 5: "Soda Tax";/title/70286782;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/28/16;Parks and Recreation: Season 5: "Ms. Knope Goes to Washington";/title/70286781;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/28/16;Parks and Recreation: Season 4: "Win, Lose, or Draw";/title/70210937;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/28/16;Parks and Recreation: Season 4: "Bus Tour";/title/70210936;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
